Name,Link Of Course,Short Description,Description,What You Will Learn,Effort,Subject,Level,Language
Autonomous Mobile Robots,https://www.edx.org/course/autonomous-mobile-robots-ethx-amrx-2,"Basic concepts and algorithms for locomotion, perception, and intelligent navigation.","Robots are rapidly evolving from factory workhorses, which are physically bound to their work-cells, to increasingly complex machines capable of performing challenging tasks in our daily environment. The objective of this course is to provide the basic concepts and algorithms required to develop mobile robots that act autonomously in complex environments. The main emphasis is put on mobile robot locomotion and kinematics, environment perception, probabilistic map based localization and mapping, and motion planning. The lectures and exercises of this course introduce several types of robots such as wheeled robots, legged robots and drones.
This lecture closely follows the textbook Introduction to Autonomous Mobile Robots by Roland Siegwart, Illah Nourbakhsh, Davide Scaramuzza, The MIT Press, second edition 2011.","What you'll learn
Be able to describe the basic concepts and algorithms required for mobile robot locomotion, environment perception, probabilistic map based localization and mapping, and motion planning
Be able to apply these concepts for the design and implementation of autonomous mobile robots acting in complex environment",4 to 8 hours per week,Computer Science,Intermediate,English
Becoming an Entrepreneur,https://www.edx.org/course/becoming-entrepreneur-mitx-launch-x-2,"Learn the business skills and startup mindset needed to embark on your entrepreneurial path from the premier program for aspiring entrepreneurs, MIT Launch.","Curious about entrepreneurship, but not sure where to start? Becoming an Entrepreneur is designed in partnership with MIT to guide people of all ages and backgrounds through the process of founding a company. With enrollment in the hundreds of thousands, this course is as engaging and accessible as it is informative.
Becoming an Entrepreneur will provide you with inspiration to explore an entrepreneurial path and tools to overcome the initial challenges of building a business.
From developing new business ideas and doing market research to designing and testing your offering and pitching, this course follows LaunchX’s successful approach to entrepreneurship that leverages MIT’s Disciplined Entrepreneurship, lean methodologies, and design thinking. There will be a combination of short videos and activities that will challenge you to get you away from your computer screen and into the community to make a real impact.
No previous business or entrepreneurship experience needed. Join us to embark on your entrepreneurial journey.","What you'll learn

Overcoming the top myths of entrepreneurship
Defining your goals as an entrepreneur and startup
Identifying business opportunities
Performing market research and choosing your target customer
Designing and testing your offering
Planning your business logistics, plus pitching and selling to customers",1-3 hours per week,Business & Management,Introductory,English
Advanced Biobased Conversion,https://www.edx.org/course/advanced-biobased-conversion-wageningenx-bb04x,"Design new (bio)catalytic conversion routes to use biobased feedstocks to their highest potential as building blocks for chemicals, materials and fuels.","Biomass is the only renewable feedstock which contains the carbon atoms needed to make the molecules to create chemicals, materials and fuels. However, the majority of our current scientific and industrial knowledge on conversion is based on processing fossil feedstocks. In this course we explore the relevant fundamental knowledge on (bio)catalytic conversion in order to produce (new) biobased building blocks, chemicals and products.
The design of an effective (catalytic) process for the conversions of biobased feedstocks to desired products is the core of this course. Unique for bioconversion is the presence of the elements O,N, P, S and the large quantities of water.
We therefore will explore:

microbial, biochemical and chemical (i.e., catalytic) conversion routes.
how to use catalysts, either heterogeneous, homogeneous or biocatalysts function in order to optimize the process of conversion. We discuss how these catalysts can be tuned and their specific advantages and disadvantages for biobased conversions.
the influence of the reactor choice as an inevitable asset in the process. We discuss how to describe the productivity of catalytic processes depending on the choice of the reactor and how the choice of the reactor can add to the stability of the conversion process.

The knowledge you gain allows you to design processes specifically targeted on biomass based conversions as well offering an opportunity to interact with chemist, engineers and scientists who mainly focus on the traditional fossil based conversions.","What you'll learn

How to efficiently convert biobased feedstocks into desired products
To understand, evaluate and design a process based on either homogeneous, heterogeneous or biocatalysts
Critically evaluate the pro and cons of a biobased conversion route vs a fossile based conversion route",15 hours per week,Chemistry,Advanced,English
Evidence-Based Stakeholder Marketing,https://www.edx.org/course/evidence-based-stakeholder-marketing-anux-ebm03x,Position your organization for success by learning how to evaluate research and evidence to identify and support key marketing strategies.,"Evidence-based marketing provides the knowledge and skills needed to navigate the brave new world of digital marketing, to develop a marketing mix, and to create cost-effective marketing strategies that cut through the clutter.
There are plenty of courses that will teach you the principles and practices of marketing, and plenty of books that will introduce you to the next “big” thing. This is particularly true in the Internet age, with new digital marketing opportunities seeming to appear daily. Some have even questioned whether the basic principles and practices of marketing still apply in this new digital world.
Drawing on the evidence-based framework, this marketing course teaches managers how to evaluate the evidence in support of new and existing marketing strategies, guiding them to identify the best strategy for different stakeholders, and giving them the tools to evaluate the impact of their marketing activities.
The knowledge and skills developed in this course are an important addition to the arsenal of marketing analysts, emerging and established marketing managers, and market-oriented entrepreneurs.
This course is part of the Evidence-Based Management MicroMasters Program.","What you'll learn
By the end of this course, students will be able to:
Establish the relevant stakeholder groups that their organization needs to address in their marketing activity.
Justify the choice of target audience for marketing communication.
Integrate stakeholder knowledge and communication to solve customer needs.
Deliver effective communication that reflects the complexity of real-world stakeholder issues.







          View Course Syllabus

        



          Hide Course Syllabus

        




Course Syllabus
Skip Syllabus Description
Week 1: Marketing concepts

Introduction to the key marketing theories and concepts.

Week 2: Strategy and applications

High level strategic considerations for stakeholder-based marketing.

Week 3: Tactics in marketing

Evidence for different marketing tactics that are applicable to different stakeholders.

Week 4: Defining the audience

Tools for evaluating feedback relating to marketing solutions for different stakeholders.

Week 5: Marketing by evidence

Collection, synthesis and analysis of marketing evidence.

Week 6: Context and applications

Review and reflect on the application of different marketing strategies and tactics in different contexts.",8 to 10 hours per week,Business & Management,Intermediate,English
High-performance Computing for Reproducible Genomics,https://www.edx.org/course/high-performance-computing-reproducible-harvardx-ph525-6x-0,Learn how to bridge from diverse genomic assay and annotation structures to data analysis and research presentations via innovative approaches to computing.,"If you’re interested in data analysis and interpretation, then this is the data science course for you.
Enhanced throughput: Almost all recently manufactured laptops and desktops include multiple core CPUs. With R, it is very easy to obtain faster turnaround times for analyses by distributing tasks among the cores for concurrent execution. We will discuss how to use Bioconductor to simplify parallel computing for efficient, fault-tolerant, and reproducible high-performance analyses. This will be illustrated with common multicore architectures and Amazon’s EC2 infrastructure.  
Enhanced interactivity: New approaches to programming with R and Bioconductor allow researchers to use the web browser as a highly dynamic interface for data interrogation and visualization. We will discuss how to create interactive reports that enable us to move beyond static tables and one-off graphics so that our analysis outputs can be transformed and explored in real time.
Enhanced reproducibility: New methods of virtualization of software environments, exemplified by the Docker ecosystem, are useful for achieving reproducible distributed analyses. The Docker Hub includes a considerable number of container images useful for important Bioconductor-based workflows, and we will illustrate how to use and extend these for sharable and reproducible analysis.
Given the diversity in educational background of our students we have divided the series into seven parts. You can take the entire series or individual courses that interest you. If you are a statistician you should consider skipping the first two or three courses, similarly, if you are biologists you should consider skipping some of the introductory biology lectures. Note that the statistics and programming aspects of the class ramp up in difficulty relatively quickly across the first three courses. By the third course will be teaching advanced statistical concepts such as hierarchical models and by the fourth advanced software engineering skills, such as parallel computing and reproducible research concepts.
These courses make up 2 XSeries and are self-paced:
PH525.1x: Statistics and R for the Life Sciences
PH525.2x: Introduction to Linear Models and Matrix Algebra
PH525.3x: Statistical Inference and Modeling for High-throughput Experiments
PH525.4x: High-Dimensional Data Analysis
PH525.5x: Introduction to Bioconductor: annotation and analysis of genomes and genomic assays 
PH525.6x: High-performance computing for reproducible genomics
PH525.7x: Case studies in functional genomics


This class was supported in part by NIH grant R25GM114818.
HarvardX requires individuals who enroll in its courses on edX to abide by the terms of the edX honor code. HarvardX will take appropriate corrective action in response to violations of the edX honor code, which may include dismissal from the HarvardX course; revocation of any certificates received for the HarvardX course; or other remedies as circumstances warrant. No refunds will be issued in the case of corrective action for such violations. Enrollees who are taking HarvardX courses as part of another program will also be governed by the academic policies of those programs.
HarvardX pursues the science of learning. By registering as an online learner in an HX course, you will also participate in research about learning. Read our research statement to learn more.
Harvard University and HarvardX are committed to maintaining a safe and healthy educational and work environment in which no member of the community is excluded from participation in, denied the benefits of, or subjected to discrimination or harassment in our program. All members of the HarvardX community are expected to abide by Harvard policies on nondiscrimination, including sexual harassment, and the edX Terms of Service. If you have any questions or concerns, please contact harvardx@harvard.edu and/or report your experience through the edX contact form.","What you'll learn

Parallel Computing
Interactive Graphics
Reproducible distributed analysis",2 – 4 hours per week,Biology & Life Sciences,Advanced,English
Case Studies in Functional Genomics,https://www.edx.org/course/case-studies-functional-genomics-harvardx-ph525-7x-0,"Explore data analysis of several experimental protocols, using open source software, including R and Bioconductor.","We will explain how to start with raw data, and perform the standard processing and normalization steps to get to the point where one can investigate relevant biological questions. Throughout the case studies, we will make use of exploratory plots to get a general overview of the shape of the data and the result of the experiment. We start with RNA-seq data analysis covering basic concepts of RNA-seq and a first look at FASTQ files. We will also go over quality control of FASTQ files; aligning RNA-seq reads; visualizing alignments and move on to analyzing RNA-seq at the gene-level: counting reads in genes; Exploratory Data Analysis and variance stabilization for counts; count-based differential expression; normalization and batch effects. Finally, we cover RNA-seq at the transcript-level: inferring expression of transcripts (i.e. alternative isoforms); differential exon usage. We will learn the basic steps in analyzing DNA methylation data, including reading the raw data, normalization, and finding regions of differential methylation across multiple samples. The course will end with a brief description of the basic steps for analyzing ChIP-seq datasets, from read alignment, to peak calling, and assessing differential binding patterns across multiple samples.
Given the diversity in educational background of our students we have divided the series into seven parts. You can take the entire series or individual courses that interest you. If you are a statistician you should consider skipping the first two or three courses, similarly, if you are biologists you should consider skipping some of the introductory biology lectures. Note that the statistics and programming aspects of the class ramp up in difficulty relatively quickly across the first three courses. By the third course will be teaching advanced statistical concepts such as hierarchical models and by the fourth advanced software engineering skills, such as parallel computing and reproducible research concepts.
These courses make up 2 XSeries and are self-paced:
PH525.1x: Statistics and R for the Life Sciences
PH525.2x: Introduction to Linear Models and Matrix Algebra
PH525.3x: Statistical Inference and Modeling for High-throughput Experiments
PH525.4x: High-Dimensional Data Analysis
PH525.5x: Introduction to Bioconductor: annotation and analysis of genomes and genomic assays 
PH525.6x: High-performance computing for reproducible genomics
PH525.7x: Case studies in functional genomics


This class was supported in part by NIH grant R25GM114818.
HarvardX requires individuals who enroll in its courses on edX to abide by the terms of the edX honor code. HarvardX will take appropriate corrective action in response to violations of the edX honor code, which may include dismissal from the HarvardX course; revocation of any certificates received for the HarvardX course; or other remedies as circumstances warrant. No refunds will be issued in the case of corrective action for such violations. Enrollees who are taking HarvardX courses as part of another program will also be governed by the academic policies of those programs.
HarvardX pursues the science of learning. By registering as an online learner in an HX course, you will also participate in research about learning. Read our research statement to learn more.
Harvard University and HarvardX are committed to maintaining a safe and healthy educational and work environment in which no member of the community is excluded from participation in, denied the benefits of, or subjected to discrimination or harassment in our program. All members of the HarvardX community are expected to abide by Harvard policies on nondiscrimination, including sexual harassment, and the edX Terms of Service. If you have any questions or concerns, please contact harvardx@harvard.edu and/or report your experience through the edX contact form.","What you'll learn

Mapping reads
Quality assessment of Next Generation Data
Analyzing RNA-seq data
Analyzing DNA methylation data
Analyzing ChIP Seq data",2-4 hours per week,Biology & Life Sciences,Advanced,English
Introduction to Bioconductor: Annotation and Analysis of Genomes and Genomic Assays,https://www.edx.org/course/introduction-bioconductor-annotation-harvardx-ph525-5x-0,"The structure, annotation, normalization, and interpretation of genome scale assays.","We begin with an introduction to the biology, explaining what we measure and why. Then we focus on the two main measurement technologies: next generation sequencing and microarrays. We then move on to describing how raw data and experimental information are imported into R and how we use Bioconductor classes to organize these data, whether generated locally, or harvested from public repositories or institutional archives. Genomic features are generally identified using intervals in genomic coordinates, and highly efficient algorithms for computing with genomic intervals will be examined in detail. Statistical methods for testing gene-centric or pathway-centric hypotheses with genome-scale data are found in packages such as limma, some of these techniques will be illustrated in lectures and labs.
Given the diversity in educational background of our students we have divided the series into seven parts. You can take the entire series or individual courses that interest you. If you are a statistician you should consider skipping the first two or three courses, similarly, if you are biologists you should consider skipping some of the introductory biology lectures. Note that the statistics and programming aspects of the class ramp up in difficulty relatively quickly across the first three courses. By the third course will be teaching advanced statistical concepts such as hierarchical models and by the fourth advanced software engineering skills, such as parallel computing and reproducible research concepts.
These courses make up 2 XSeries and are self-paced:
PH525.1x: Statistics and R for the Life Sciences
PH525.2x: Introduction to Linear Models and Matrix Algebra
PH525.3x: Statistical Inference and Modeling for High-throughput Experiments
PH525.4x: High-Dimensional Data Analysis
PH525.5x: Introduction to Bioconductor: annotation and analysis of genomes and genomic assays 
PH525.6x: High-performance computing for reproducible genomics
PH525.7x: Case studies in functional genomics


This class was supported in part by NIH grant R25GM114818.
HarvardX requires individuals who enroll in its courses on edX to abide by the terms of the edX honor code. HarvardX will take appropriate corrective action in response to violations of the edX honor code, which may include dismissal from the HarvardX course; revocation of any certificates received for the HarvardX course; or other remedies as circumstances warrant. No refunds will be issued in the case of corrective action for such violations. Enrollees who are taking HarvardX courses as part of another program will also be governed by the academic policies of those programs.
HarvardX pursues the science of learning. By registering as an online learner in an HX course, you will also participate in research about learning. Read our research statement to learn more.
Harvard University and HarvardX are committed to maintaining a safe and healthy educational and work environment in which no member of the community is excluded from participation in, denied the benefits of, or subjected to discrimination or harassment in our program. All members of the HarvardX community are expected to abide by Harvard policies on nondiscrimination, including sexual harassment, and the edX Terms of Service. If you have any questions or concerns, please contact harvardx@harvard.edu and/or report your experience through the edX contact form.","What you'll learn

Introduction to high-throughput technologies

	
Next Generation Sequencing
Microarrays


What we measure with high-throughput technologies and why
Preprocessing and Normalization
The Bioconductor Genomic Ranges Utilities
Genomic Annotation",2-4 hours per week,Biology & Life Sciences,Intermediate,English
UX Design: From Wireframe to Prototype,https://www.edx.org/course/ux-design-wireframe-prototype-michiganx-ux506x,Learn about the UX design process by taking a UX design project from wireframes to a design specification document.,"Building on UX Design: From Concept to Wireframe, this UX course you will show you how to take a set of wireframes and interaction architecture and embody it in an interactive prototype. Using a state-of-the-art prototyping tool, you will build a testable prototype and use it to gain preliminary user feedback. You will also learn about how to document your prototype so that a development team can take it to the next level.
This course is part of the User Experience (UX) Research and Design MicroMasters Program offered by MichiganX.This course is part of a MicroMasters program. If you complete all courses in the MicroMasters program in 2018, GE will guarantee you an interview in Boston for an internship or full-time role. Open to Massachusetts residents only.","What you'll learn
How to run a paper prototype test
Expand on the wireframe by developing high-fidelity mockups
Develop interactivity to further test the user experience
Create a design specification document",3 to 4 hours per week,Computer Science,Intermediate,English
Building a Cybersecurity Toolkit,https://www.edx.org/course/building-cybersecurity-toolkit-uwashingtonx-cyb003x,Develop a set of skills and characteristics that expand beyond technical proficiency to become a successful cybersecurity professional.,"Technologies are always being defeated.
If you own an information asset that’s valuable enough to the right adversary, it’s only a matter of time before there’s a breach. Today’s technologies attempt to keep adversaries out, but the sad fact is they will inevitably be defeated. This means a successful cybersecurity professional needs to have an expanded arsenal in their toolkit that extends far beyond technical proficiency.
Cybersecurity professionals need to be agile, multifunctional, flexible, and dynamic given how quickly things can change. They need to be able to adapt to change and problem solve quickly, have diverse knowledge to perform many activities, respond to new threats and shift priorities to meet the challenge of the day.
The purpose of this course is to give learners insight into these type of characteristics and skills needed for cybersecurity jobs and to provide a realistic outlook on what they really need to add to their “toolkits” – a set of skills that is constantly evolving, not all technical, but fundamentally rooted in problem-solving.
Students will learn from thought leaders from both the academic and practitioner communities.","What you'll learn
By the end of this course, you will be able to:

Identify what tools and skills are necessary to form today’s Professional Cybersecurity toolkit;
Match appropriate tools to different purposes in the cybersecurity management process;
Synthesize insights gained in course exploration of toolkit skill sets, working toward self-evaluation of talents and interests aligned to cybersecurity’s array of roles",2-5 hours per week,Computer Science,Introductory,English
Windows Server 2016: Azure for On-Premises Administrators,https://www.edx.org/course/windows-server-2016-azure-premises-microsoft-inf216x,"Interested in expanding your on-premises infrastructure to Microsoft Azure? Learn how you can take that first step with virtual machines, cloud storage, and identity solutions.","Interested in gaining the basic skills needed to use Windows Server technology to power the next generation of optimized networks, applications, and web services?
Through videos, discussions, hands-on labs, and assessments this self-paced course will help you extend your on-premises infrastructure to Microsoft Azure. Specifically you will learn about virtual machines, cloud storage, and identity solutions.
This course can help you:

Improve your skills in implementing a Microsoft Azure cloud infrastructure.
Decide if a career in IT is for you
Prepare for an introductory job in Windows Server administration

Study for Microsoft certification tests and badges.","What you'll learn
How to implement Windows and Linux virtual machines in Microsoft Azure.
How to use Azure storage on-premises files, folders, and virtual machine backup.
How to use Azure AD Connect to implement an identity solution.",4 to 5 hours per week,Computer Science,Intermediate,English
Introduction to Python: Fundamentals,https://www.edx.org/course/introduction-python-fundamentals-microsoft-dev274x,"Build on what you learned in the “Introduction to Python: Absolute Beginner” course, and dig into data structure basics.","This course is part of the Microsoft Professional Program in Entry-Level Software Development.Ready for more hands-on, step-by-step Python fundamentals? Add to the foundational experience you got in the Introduction to Python: Absolute Beginner, and explore data structures. Get lots of practice working with sample code in Jupyter Notebooks on Azure, which require only a browser and an Internet connection.
Focus on Python data structures, and work with string, list, and range sequences. Discover the power of list iteration, and learn about string and list methods. From there, get the details on file input and output—open files, read them, add to them, close them, and more. At the end of the course, you’ll be able to slice strings into substrings, create lists, iterate through them, import files, and use file append mode, along with a lot of other practical Python tasks, as you get started coding.","What you'll learn

Python 3 fundamentals
Strings and List manipulation
Methods to Iterate through strings, lists and ranges
Creating, reading and writing to files







          View Course Syllabus

        



          Hide Course Syllabus

        




Course Syllabus
Skip Syllabus Description

        Module 1 - Sequences: String Indexing Module 2 - Sequences: List Manipulation Module 3 - Sequences: Iteration Module 4 - Files: Input and Output",3 to 4 hours per week,Computer Science,Introductory,English
Marketing Fundamentals: Who Is Your Customer?,https://www.edx.org/course/marketing-fundamentals-who-customer-babsonx-bpet-mktx-0,Learn key marketing concepts to implement customer acquisition strategies to find the right customers and grow your business.,"In order to compete in an ever-changing market, business leaders must assess and respond to consumer needs and wants. Marketing is a means of creating value for consumers and engendering loyalty and enthusiasm for your product or service.
If you’re starting or running a business, identifying and targeting your consumers is the single most important decision you can make. Business leaders often wrongly believe that every customer is a good customer. This is not always the case; knowing which customers to let go of is just as important as finding customers. In this marketing course, you will learn how to assess the value you provide to the consumer as well as the value the customer offers your business.
The course will also provide you with a toolkit you can apply to real world situations. Topics include:

the marketing mix
segmentation
targeting and positioning
marketing strategy
consumer behavior

Marketing is often an afterthought for entrepreneurs as they focus on getting their venture off the ground. You will learn how marketing is a vital part of launching a successful business, and for keeping one running, and how marketing concepts can be applied to entrepreneurial situations. By the end of the course, you will be thinking about marketing strategically in order to grow your business, rather than as a tactical cost.
This course is part of the Business Principles and Entrepreneurial Thought XSeries.","What you'll learn

How segmentation, targeting and positioning methods can be used to acquire customers
How to use the marketing mix; product, price, promotion and place
Consumer behavior and how you can leverage market data to grow your business
How to use marketing strategies to position your company for maximum value creation",4-6 hours per week,Business & Management,Introductory,English
Sustainable Food Security: Crop Production,https://www.edx.org/course/sustainable-food-security-crop-wageningenx-sfscpx,Learn the basics of crop production and find out how to feed the future world population without depleting our planet’s resources!,"Crop production: learn about agriculture and food production for the future
How much food will be available for humankind in the future? Feeding nine billion people in 2050 without exhausting the planetary reserves is perhaps the greatest challenge humanity has ever faced.
In this course of the XSeries in environmental studies, you will examine the principles of crop production. You will learn about the ‘availability pillar’ of global food security that lies at the heart of food production, applicable to both crops and animal production. This course will discuss why yields in some parts of the world are lagging behind and identify the agro-ecological drivers that shape the broad diversity of production systems. Also, key issues relating to the closing of yield gaps and the difference in visions of sustainability will be explored.
Systems-based approach at Wageningen University 
The University of Wageningen offers an excellent combination of conducting research worldwide and educating in the area of ‘healthy food and living environment’. Through its unique systems-based approach to food systems, the institute adds the phase of primary production to the broad context of global food security.
This is why you should sign up 
If you want to enrich your views and action perspectives related to global food security and food systems, you can sign up as a:

international student
professional with a varied educational background

After successful completion of both practice and graded questions related to this course, you will:

Understand the basic concept of plant production
Be able to value central issues related to global food production and consumption
Understand the influences of water scarcity and water availability on crop production, as well as measures suppressing pests, diseases, and weeds
Be able to identify processes that cause significant environmental problems and evaluate measures to solve and prevent those problems be able to judge innovations in food crop production on their merits for the rural population in the different geographical regions

A verified edX certificate provides proof for an employer, school, or other institution that you have successfully completed this online course.","What you'll learn
In this course, you will learn about crop production from professor Ken E. Giller: 

The principles of production ecology
How to use resources most efficiently for crop production
To identify which biophysical principles are constraining factors in yield formation
To assess yield gaps at the level of fields and production systems around the world, contributing to efficient resource management








          View Course Syllabus

        



          Hide Course Syllabus

        




Course Syllabus
Skip Syllabus Description
Week 1: Introduction

This first week we are setting the scene for the global food situation today and projected demand and supply options tomorrow. Covering the four pillars of global food systems, we will zoom in on availability issues, and more in particular on crop production, as central theme of this course. Photosynthesis plays a key role in this process, turning solar light into food, which fuels mankind. Analogously to physical principles applied in building houses, you’ll be acquainted to the bio-physical principles in growing crops.

 
Week 2: Potential production

Potential production is the simplest representation of crop growth, defined by the crop's genetic potential and the ambient growth factors radiation, temperature and carbon dioxide concentration in the air. Under perfect crop management, with no limitation of water and nutrients, and a weed, pathogen and pest free environment, crops reach their potential production.


This week focuses on the conversion of carbon dioxide into plant biomass as powered by solar radiation, with temperature as modifying factor. Based on variation in solar radiation and temperature around the globe, you’ll be able to calculate potential crop yields for different locations.

 
Week 3: Water limited production

In the process of fixing carbon dioxide from the air into biomass, crops inevitably lose water by transpiration. When transpired water from the leaf surface is not adequately replenished through water uptake by the roots, crop production becomes water-limited, resulting in lower yields.


Accounting for the evaporative demand of the air and water availability to the crop, water-limited production can be assessed. Conversely, to reach potential yield, you may determine the amount of water required through irrigation, as a yield increasing measure.

 
Week 4: Nutrient limited production

In addition to water, nutrients are essential to crop production to support physiological processes, like photosynthesis. Various nutrients are absorbed from the soil by the roots. When nutrient availability falls short, production becomes nutrient-limited. In that situation nutrient application by manure or artificial fertilizers is a yield increasing measure..

 
Week 5: Actual production

Actual crop production refers a situation where production is further reduced by effects of weed, pests (insects, mites, nematodes, rodents, and birds), diseases (fungi, bacteria, viruses) and/or pollutants. This introduces an extra level of complexity in plant production.


In spite of intensive crop protection measures in some parts of the world, the actual production is the common production situation for the majority of the world's agricultural production systems. We will look at how weeds, and pests and diseases affect crop yields and what measures can be taken to prevent losses.

 
Week 6: Synthesis

Having tackled the three distinguished production situations separately in the previous weeks, we now come back to complete the diagram reflecting the 'principles of production ecology'. Hopefully, it means more to you now and you can use it in analysing the impact of genetics, environment and management on crop yields, as will be discussed in this synopsis.",6-8 hours per week,Environmental Studies,Intermediate,English
Sustainable Food Security: The value of systems thinking,https://www.edx.org/course/sustainable-food-security-value-systems-wageningenx-ffesx,Learn how to solve the ‘Rubik’s cube’ of systems thinking and how it’s applied to improve the environmental sustainability of food production systems!,"Systems thinking and environmental sustainability: solve the Rubik’s cube
Have you ever considered how many aspects of food production affect the natural environment? Every aspect needs to be considered in attaining the future goal to produce enough food for the growing population while at the same time preserving our planet. It’s as difficult as solving a Rubik’s cube; changing one aspect may affect the environment in a major way.
Systems theory, or systems thinking, is a way of understanding and working with the complexity of sustainable food production systems, which requires training in different disciplines and an approach that can address this complexity. This environmental studies course enables participants to apply the principles of a systems approach to food production with a focus on environmental sustainability.
The professors at Wageningen University 
The University of Wageningen offers an excellent combination of conducting research worldwide and educating in the area of ‘healthy food and living environment’. For each course, professors from specific fields of expertise are eager to teach and share the University’s mission: “Explore the potential of nature to improve the quality of life”.
This is why you should sign up 
Sign up as a student if you want to acquire knowledge about environmental sustainability and the way systems thinking helps in decision-making in the complexity of food production. After successful completion of both practice and graded assignments related to this course, you will:

Understand the complexity and diversity of food production systems
Understand the principles of system analysis and apply it to environmental issues in food production
Understand evaluation methods for the environmental impact of food production systems in different contexts and levels (e.g. farm, regional and global) Be able to evaluate strong and weak points of different food production systems regarding environmental sustainability
Be able to contribute to a discussion about environmental sustainability and food production and ask relevant questions","What you'll learn
 In this course you will learn about:

The concept of environmental sustainability and identify the main issues associated with food production
The basics of systems thinking and understand how the different aspects of a system influence one another and how a system itself is affected by its context
The relevance of crop and livestock productivity for environmental sustainability
The environmental indicators and how to measure the environmental impact of food production at farm, village or regional level
Decision-making and life cycle assessment
Helpful tools and their strong and weak points

We will analyze production systems at both ends of the spectrum: highly productive systems with relatively high inputs and emissions to the environment, and low productive systems with low input use and depletion of soil fertility. Crop-livestock interaction is a focal point.",8 to 10 hours per week,Biology & Life Sciences,Introductory,English
Gameplay Programming for Video Game Designers,https://www.edx.org/course/gameplay-programming-video-game-ritx-game105x,Learn how to create the best gameplay by understanding algorithmic thinking in simple programming problems and applying it to game design.,"Some video game designers are programmers in their own right, and may have even come from that background to a designer’s role. Others have a less formal background. All video game designers should have a solid understanding of what programmers can and cannot do, how assets interact with code, what algorithmic thinking is and how to take advantage of the capabilities of different engines and tools.","What you'll learn

The different types of programming and skill sets required for video game designers
The common processes of programming 
How different control structures work
How assets make their way onto a video game and how they interact with the code",3 hours per week,Computer Science,Introductory,English
Introduction to Cybersecurity,https://www.edx.org/course/introduction-cybersecurity-uwashingtonx-cyb001x,"An introduction to cybersecurity, ideal for learners who are curious about the world of Internet security and who want to be literate in the field.","This course serves as an introduction to the exciting field of cybersecurity.
As our daily lives become more and more dependent on Internet-based tools and services, and as those platforms accumulate more of our most sensitive data, the demand grows for experts in the field of cybersecurity.
In this course, you will gain an overview of the cybersecurity landscape as well as national (USA) and international perspectives on the field. We will cover the legal environment that impacts cybersecurity as well as predominant threat actors.","What you'll learn
By the end of this course, you will be able to

Define and use key terms and concepts in the field of cybersecurity;
Identify and distinguish threat actors and their motivations;
Match appropriate types of controls to the actions of different threat actors;
Describe the differences and interactions among international agencies related to cybersecurity;
Describe at least two potential legal challenges to cybersecurity in your country.",2-5 hours per week,Computer Science,Introductory,English
English at Work: Job Applications,https://www.edx.org/course/english-work-asia-job-applications-hkpolyux-ewa1-1-1x,Learn how to be successful in your job search by creating a compelling CV / résumé and cover letter.,"Based on interviews with industry professionals and recruitment specialists, this course helps you create a compelling CV / résumé and job application that will get your foot in the door.Be the last they have to read - Be the first they want to call!Once you have your professional knowledge and gained your experience, how you persuade others to believe that you are as good as you say you are is the challenge. Our instructors have had a 100% success rate in getting interviews and landing a job, and we hope to share that experience with you. How will this course change your job application process?

No more generic CVs! Our recruitment specialists will tell you exactly what they are looking for in applicants.


As a verified user, you get step by step language guides on how to highlight why you are the person they are looking for!




Forget Google samples! Put together job applications based on practical tips from experienced professionals.


As a verified user, you get personalised feedback on your CVs, Cover Letters or your LinkedIn profile!


Stop asking Google! Exchange ideas with a global community of learners.


As a verified user, you get face-to-face online sessions with our team. 




Don’t forget to join our English@Work: Job Interviews course, which includes practical tips and a variety of practice tasks to help you tell your story so well, interviewers can’t ignore you.","What you'll learn
In this course you will learn how to create:

captivating CVs and résumés
engaging cover letters
compelling online presence 

As well as identifying how to succeed in the job search process.
 






          View Course Syllabus

        



          Hide Course Syllabus

        




Course Syllabus
Skip Syllabus Description
Week 1: Excelling at Leadership and Creativity Find out what industry professionals think are the qualities and attributes of a leader, and why creativity is important in job applications; learn what you should do before applying for a job, plus vocabulary related to ambition and how to modify your level of formality.  Week 2: Getting your CV / Résumé  Noticed Know what you should put in a CV, and what should be left out. Learn different ways of ordering information in a CV, who you could use as a referee, plus vocabulary related to action verbs and HR buzz words.  Week 3: Selling Yourself in the Cover Letter Learn how a cover letter can effectively complement a CV and give you the edge. Get tips from recruiters, as well as language input about parallel structures, verb forms, tone and style.  Week 4: Creating a Compelling Online Presence Study the importance of an online presence when applying for jobs. Create your own online profile and expand your digital vocabulary.  Week 5: Completion of Peer Assessment",2 to 4 hours per week,Communication,Introductory,English
